ល.រ ក្រុមហ៊ុន/សហគ្រាស,ល.រ មុខសញ្ញា,ឈ្មោះក្រុមហ៊ុន/សហគ្រាស,អាស័យដ្ឋានក្រុមហ៊ុន/សហគ្រាស,រាជធានី/ខេត្ត,ឈ្មោះម្ចាស់ក្រុមហ៊ុន/សហគ្រាស,តួនាទី,លេខទូរស័ព្ទ,មុខសញ្ញាជាឧបករណ៍មាត្រាសាស្ត្រ ឬទំនិញវេចខ្ចប់,ឈ្មោះឧបករណ៍មាត្រាសាស្ត្រ/ទំនិញវេចខ្ចប់,ម៉ាក/ម៉ូដែល/លេខស៊េរី,ប្រទេសផលិតដើម,ឆ្នាំផលិត,សមត្ថភាពរង្វាស់រង្វាល់,កម្រិតលម្អៀង/សុក្រឹតភាព,លេខចុះបញ្ជីមាត្រាសាស្ត្រ,ថ្ងៃ/ខែ/ឆ្នាំចុះបញ្ជីមាត្រាសាស្ត្រ,លេខវិញ្ញាបនបត្រ,ថ្ងៃ/ខែ/ឆ្នាំចាប់ផ្ដើមមានសុពលភាព,ស្ថានភាព,Verification
271,13,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Temperature Control Chamber (MEMMERT),UN 110,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,14,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Temperature Control Chamber (MEMMERT),IPP260ecoplus,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,15,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Countersing Gauge Block,Mitutoyo,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,16,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,DIMENSION GAGE (WACO),97500-10,236,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,17,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Digital Pressure Gauge,LEO1,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,18,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Temperature Dry Well Calibrator,CTD9100-165,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,19,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Spectrophotometer,Genesys 10 UV,236,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,20,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Conductivity 912,Metromh,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,21,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,CO2 Volume Tester Can,Zham & Nagel,236,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,22,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,CO2 Volume Tester PET,Zham & Nagel,236,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,23,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,pH 827 WTP,827 pH Lab,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,24,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,pH 827 QC,827 pH Lab,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,25,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,TDS meter WTP,SD 320 Con,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,26,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Turbidity Meter,HI 98703,110,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,27,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Countersink,S112TXB,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,28,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Sartorius,ENTRIS224I-1S,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,29,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Sartorius,E694,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,30,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Mettler Toledo,PB 8001.L,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,31,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Mettler Toledo,IND221,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,32,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Mettler Toledo,ICS429,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,33,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic balance Uni Bloc,TX3202L,215,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,34,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,MultiDirect QC,Lovibon,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,35,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,MultiDirect WTP,Lovibon,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,36,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,MultiDirectWWTP,Lovibon,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,37,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,FINNPIPETTE (4004319),FINNPIPETTE,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,38,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Dispensette S (25F86097),Dispensette S,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,39,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Dispensette III (07L53547),Dispensette III,83,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,40,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Digimatic Heighguage (Mitutoyo),HSD-H60C,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,41,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Outillage Controle Epaisseur Thickness Preform (Sidel),ID-S1012B,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,42,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Controle de Perpendicularite (Sidel),ID-U1025,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,43,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ឧបករណ៍មាត្រាសាស្ត្រ,Base clearance,ID-U1025,112,42,N/A,N/A,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,44,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,AQUARIUS,AQUARIUS,38,2026,330​ml/390ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,45,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Coca-Cola,Coca-Cola Classic ,38,2026,185ml/250ml/330ml/350ml/380ml/390ml/580ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,46,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Coca-Cola,Coca-Cola Light,38,2026,330ml/350ml/480ml/600ml/,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,47,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Coca-Cola,Coca-Cola Zero,38,2026,250ml/330ml/350ml/480ml/600ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,48,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta ,Fanta Banana ,38,2026,250ml/330ml/350ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,49,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta,Fanta Fruit Punch,38,2026,330ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,50,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta ,Fanta Grape,38,2026,185ml/250ml/330ml/350ml/390ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,51,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta,Fanta Orange,38,2026,185ml/250ml/330ml/350ml/390ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,52,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta ,Fanta Pineapple,38,2026,250ml/330ml/350ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,53,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta,Fanta Sarsi,38,2026,185ml/200ml/250ml/330ml/200ml/350ml/390ml/480ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,54,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fanta,Fanta Strawberry,38,2026,185ml/250ml/330ml/200ml/350ml/390ml/600ml/1.5ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,55,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fury Energy,Fury Energy,38,2026,250ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,56,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fuzetea,Fuzetea Jasmine Honey Tea,38,2025,485ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,57,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fuzetea,Fuzetea Lemon Lemongrass tea,38,2026,250ml/330ml/350ml/390ml/450ml/485ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,58,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Fuzetea,Fuzetea Winter Melon Monk Fruit Tea,38,2025,250ml/330ml/350ml/390ml/450ml/485ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,59,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Predator Energy ,Predator Energy Double Strength Gold Strike,38,2026,250ml/330ml/400ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,60,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Predator Energy ,Predator Energy Double Strength Red Dawn,38,2025,330ml/400ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,61,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Samurai,Samurai Fruity,38,2026,250ml/330ml/350ml/480ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,62,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Samurai,Samurai Strawberry,38,2026,250ml/330ml/350ml/480ml/600ml/1.5ml/2.25ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
271,63,ខេមបូឌា បេវេរេដ ខមប៉ានី លីមីធីត,ផ្លូវជាតិលេខ៤ ភូមិបឹងធំទី១ សង្កាត់បឹងធំ ខណ្ឌកំបូល រាជធានីភ្នំពេញ,ភ្នំពេញ,Yi Jin,ប្រធានក្រុមប្រឹក្សាភិបាល,098463125,ទំនិញវេចខ្ចប់,Schweppes,Schweppes Dry Ginger Ale,38,2026,250ml/330ml/350ml/390ml/600ml,,រង់ចាំការអនុម័ត,46213.11998,42,2023-09-11,SUBMITTED,
